date,price,p_code
2022-02-19,,AW_A00198
2022-02-19,,AW_A00200
2022-02-19,,AW_A00091
2022-02-19,,AW_A00092
2022-02-19,,AW_A00033
2022-02-19,,AW_A00034
2022-02-19,,AW_A00021
2022-02-19,,AW_A00022
2022-02-19,,AW_A00008
2022-02-19,,AW_A00009
2022-02-19,,AW_A00006
2022-02-19,,AW_A00007
2022-02-12,,AW_A00115
2022-02-12,,AW_A00116
2022-02-12,,AW_A00152
2022-02-12,,AW_A00153
2022-02-12,,AW_A00198
2022-02-12,,AW_A00200
2022-02-12,,AW_A00091
2022-02-12,,AW_A00092
2022-02-12,,AW_A00033
2022-02-12,,AW_A00034
2022-02-12,,AW_A00021
2022-02-12,,AW_A00022
2022-02-12,,AW_A00008
2022-02-12,,AW_A00009
2022-02-12,,AW_A00006
2022-02-12,,AW_A00007
2022-02-05,,AW_A00115
2022-02-05,,AW_A00116
2022-02-05,,AW_A00152
2022-02-05,,AW_A00153
2022-02-05,,AW_A00198
2022-02-05,,AW_A00200
2022-02-05,,AW_A00091
2022-02-05,,AW_A00092
2022-02-05,,AW_A00033
2022-02-05,,AW_A00034
2022-02-05,,AW_A00021
2022-02-05,,AW_A00022
2022-02-05,,AW_A00008
2022-02-05,,AW_A00009
2022-02-05,,AW_A00006
2022-02-05,,AW_A00007
2022-02-02,,AW_A00115
2022-02-02,,AW_A00116
2022-02-02,,AW_A00152
2022-02-02,,AW_A00153
2022-02-02,,AW_A00198
2022-02-02,,AW_A00200
2022-02-02,,AW_A00091
2022-02-02,,AW_A00092
2022-02-02,,AW_A00033
2022-02-02,,AW_A00034
2022-02-02,,AW_A00021
2022-02-02,,AW_A00022
2022-02-02,,AW_A00008
2022-02-02,,AW_A00009
2022-02-02,,AW_A00006
2022-02-02,,AW_A00007
2022-02-01,,AW_A00115
2022-02-01,,AW_A00116
2022-02-01,,AW_A00152
2022-02-01,,AW_A00153
2022-02-01,,AW_A00198
2022-02-01,,AW_A00200
2022-02-01,,AW_A00091
2022-02-01,,AW_A00092
2022-02-01,,AW_A00033
2022-02-01,,AW_A00034
2022-02-01,,AW_A00021
2022-02-01,,AW_A00022
2022-02-01,,AW_A00008
2022-02-01,,AW_A00009
2022-02-01,,AW_A00006
2022-02-01,,AW_A00007
2022-01-31,,AW_A00115
2022-01-31,,AW_A00116
2022-01-31,,AW_A00152
2022-01-31,,AW_A00153
2022-01-31,,AW_A00198
2022-01-31,,AW_A00200
2022-01-31,,AW_A00091
2022-01-31,,AW_A00092
2022-01-31,,AW_A00033
2022-01-31,,AW_A00034
2022-01-31,,AW_A00021
2022-01-31,,AW_A00022
2022-01-31,,AW_A00008
2022-01-31,,AW_A00009
2022-01-31,,AW_A00006
2022-01-31,,AW_A00007
2022-01-29,,AW_A00115
2022-01-29,,AW_A00116
2022-01-29,,AW_A00152
2022-01-29,,AW_A00153
2022-01-29,,AW_A00198
2022-01-29,,AW_A00200
2022-01-29,,AW_A00091
2022-01-29,,AW_A00092
2022-01-29,,AW_A00033
2022-01-29,,AW_A00034
2022-01-29,,AW_A00021
2022-01-29,,AW_A00022
2022-01-29,,AW_A00008
2022-01-29,,AW_A00009
2022-01-29,,AW_A00006
2022-01-29,,AW_A00007
2022-01-22,,AW_A00115
2022-01-22,,AW_A00116
2022-01-22,,AW_A00152
2022-01-22,,AW_A00153
2022-01-22,,AW_A00198
2022-01-22,,AW_A00200
2022-01-22,,AW_A00091
2022-01-22,,AW_A00092
2022-01-22,,AW_A00033
2022-01-22,,AW_A00034
2022-01-22,,AW_A00021
2022-01-22,,AW_A00022
2022-01-22,,AW_A00008
2022-01-22,,AW_A00009
2022-01-22,,AW_A00006
2022-01-22,,AW_A00007
2022-01-21,,AW_A00199
2022-01-20,,AW_A00199
2022-01-19,,AW_A00199
2022-01-18,,AW_A00199
2022-01-18,,AW_A00034
2022-01-17,,AW_A00199
2022-01-17,,AW_A00034
2022-01-15,,AW_A00115
2022-01-15,,AW_A00116
2022-01-15,,AW_A00152
2022-01-15,,AW_A00153
2022-01-15,,AW_A00198
2022-01-15,,AW_A00200
2022-01-15,,AW_A00091
2022-01-15,,AW_A00092
2022-01-15,,AW_A00033
2022-01-15,,AW_A00034
2022-01-15,,AW_A00021
2022-01-15,,AW_A00022
2022-01-15,,AW_A00008
2022-01-15,,AW_A00009
2022-01-14,,AW_A00199
2022-01-13,,AW_A00199
2022-01-12,,AW_A00199
2022-01-11,,AW_A00199
2022-01-10,,AW_A00199
2022-01-08,,AW_A00115
2022-01-08,,AW_A00116
2022-01-08,,AW_A00152
2022-01-08,,AW_A00153
2022-01-08,,AW_A00198
2022-01-08,,AW_A00199
2022-01-08,,AW_A00200
2022-01-08,,AW_A00091
2022-01-08,,AW_A00092
2022-01-08,,AW_A00033
2022-01-08,,AW_A00034
2022-01-08,,AW_A00021
2022-01-08,,AW_A00022
2022-01-08,,AW_A00008
2022-01-08,,AW_A00009
2022-01-01,,AW_A00115
2022-01-01,,AW_A00116
2022-01-01,,AW_A00152
2022-01-01,,AW_A00153
2022-01-01,,AW_A00198
2022-01-01,,AW_A00199
2022-01-01,,AW_A00200
2022-01-01,,AW_A00091
2022-01-01,,AW_A00092
2022-01-01,,AW_A00033
2022-01-01,,AW_A00034
2022-01-01,,AW_A00021
2022-01-01,,AW_A00022
2022-01-01,,AW_A00008
2022-01-01,,AW_A00009
2021-12-25,,AW_A00115
2021-12-25,,AW_A00116
2021-12-25,,AW_A00152
2021-12-25,,AW_A00153
2021-12-25,,AW_A00198
2021-12-25,,AW_A00199
2021-12-25,,AW_A00200
2021-12-25,,AW_A00091
2021-12-25,,AW_A00092
2021-12-25,,AW_A00033
2021-12-25,,AW_A00034
2021-12-25,,AW_A00021
2021-12-25,,AW_A00022
2021-12-25,,AW_A00008
2021-12-25,,AW_A00009
2021-12-18,,AW_A00115
2021-12-18,,AW_A00116
2021-12-18,,AW_A00152
2021-12-18,,AW_A00153
2021-12-18,,AW_A00198
2021-12-18,,AW_A00200
2021-12-18,,AW_A00091
2021-12-18,,AW_A00092
2021-12-18,,AW_A00033
2021-12-18,,AW_A00034
2021-12-18,,AW_A00021
2021-12-18,,AW_A00022
2021-12-18,,AW_A00008
2021-12-18,,AW_A00009
2021-12-11,,AW_A00115
2021-12-11,,AW_A00116
2021-12-11,,AW_A00152
2021-12-11,,AW_A00153
2021-12-11,,AW_A00198
2021-12-11,,AW_A00200
2021-12-11,,AW_A00091
2021-12-11,,AW_A00092
2021-12-11,,AW_A00033
2021-12-11,,AW_A00034
2021-12-11,,AW_A00021
2021-12-11,,AW_A00022
2021-12-11,,AW_A00008
2021-12-11,,AW_A00009
2021-12-03,,AW_A00115
2021-12-03,,AW_A00116
2021-12-03,,AW_A00152
2021-12-03,,AW_A00153
2021-12-03,,AW_A00198
2021-12-03,,AW_A00200
2021-12-03,,AW_A00091
2021-12-03,,AW_A00092
2021-12-03,,AW_A00033
2021-12-03,,AW_A00034
2021-12-03,,AW_A00021
2021-12-03,,AW_A00022
2021-12-03,,AW_A00008
2021-12-03,,AW_A00009
2021-11-27,,AW_A00115
2021-11-27,,AW_A00116
2021-11-27,,AW_A00152
2021-11-27,,AW_A00153
2021-11-27,,AW_A00198
2021-11-27,,AW_A00200
2021-11-27,,AW_A00091
2021-11-27,,AW_A00092
2021-11-27,,AW_A00033
2021-11-27,,AW_A00034
2021-11-27,,AW_A00021
2021-11-27,,AW_A00022
2021-11-27,,AW_A00008
2021-11-27,,AW_A00009
2021-11-20,,AW_A00115
2021-11-20,,AW_A00116
2021-11-20,,AW_A00152
2021-11-20,,AW_A00153
2021-11-20,,AW_A00198
2021-11-20,,AW_A00200
2021-11-20,,AW_A00091
2021-11-20,,AW_A00092
2021-11-20,,AW_A00033
2021-11-20,,AW_A00034
2021-11-20,,AW_A00021
2021-11-20,,AW_A00022
2021-11-20,,AW_A00008
2021-11-20,,AW_A00009
2021-11-13,,AW_A00115
2021-11-13,,AW_A00116
2021-11-13,,AW_A00152
2021-11-13,,AW_A00153
2021-11-13,,AW_A00198
2021-11-13,,AW_A00200
2021-11-13,,AW_A00091
2021-11-13,,AW_A00092
2021-11-13,,AW_A00033
2021-11-13,,AW_A00034
2021-11-13,,AW_A00021
2021-11-13,,AW_A00022
2021-11-13,,AW_A00008
2021-11-13,,AW_A00009
2021-11-06,,AW_A00115
2021-11-06,,AW_A00116
2021-11-06,,AW_A00152
2021-11-06,,AW_A00153
2021-11-06,,AW_A00198
2021-11-06,,AW_A00200
2021-11-06,,AW_A00091
2021-11-06,,AW_A00092
2021-11-06,,AW_A00033
2021-11-06,,AW_A00034
2021-11-06,,AW_A00021
2021-11-06,,AW_A00022
2021-11-06,,AW_A00008
2021-11-06,,AW_A00009
2021-10-30,,AW_A00115
2021-10-30,,AW_A00116
2021-10-30,,AW_A00152
2021-10-30,,AW_A00153
2021-10-30,,AW_A00198
2021-10-30,,AW_A00091
2021-10-30,,AW_A00092
2021-10-30,,AW_A00033
2021-10-30,,AW_A00034
2021-10-30,,AW_A00021
2021-10-30,,AW_A00022
2021-10-30,,AW_A00008
2021-10-30,,AW_A00009
2021-10-23,,AW_A00115
2021-10-23,,AW_A00116
2021-10-23,,AW_A00152
2021-10-23,,AW_A00153
2021-10-23,,AW_A00198
2021-10-23,,AW_A00091
2021-10-23,,AW_A00092
2021-10-23,,AW_A00033
2021-10-23,,AW_A00034
2021-10-23,,AW_A00021
2021-10-23,,AW_A00022
2021-10-23,,AW_A00008
2021-10-23,,AW_A00009
2021-10-16,,AW_A00115
2021-10-16,,AW_A00116
2021-10-16,,AW_A00152
2021-10-16,,AW_A00153
2021-10-16,,AW_A00198
2021-10-16,,AW_A00091
2021-10-16,,AW_A00092
2021-10-16,,AW_A00033
2021-10-16,,AW_A00034
2021-10-16,,AW_A00021
2021-10-16,,AW_A00022
2021-10-16,,AW_A00008
2021-10-16,,AW_A00009
2021-10-15,,AW_A00117
2021-10-14,,AW_A00117
2021-10-13,,AW_A00117
2021-10-12,,AW_A00117
2021-10-11,,AW_A00115
2021-10-11,,AW_A00116
2021-10-11,,AW_A00117
2021-10-11,,AW_A00152
2021-10-11,,AW_A00153
2021-10-11,,AW_A00198
2021-10-11,,AW_A00091
2021-10-11,,AW_A00092
2021-10-11,,AW_A00033
2021-10-11,,AW_A00034
2021-10-11,,AW_A00021
2021-10-11,,AW_A00022
2021-10-11,,AW_A00008
2021-10-11,,AW_A00009
2021-10-09,,AW_A00115
2021-10-09,,AW_A00116
2021-10-09,,AW_A00152
2021-10-09,,AW_A00153
2021-10-09,,AW_A00198
2021-10-09,,AW_A00091
2021-10-09,,AW_A00092
2021-10-09,,AW_A00033
2021-10-09,,AW_A00034
2021-10-09,,AW_A00021
2021-10-09,,AW_A00022
2021-10-09,,AW_A00008
2021-10-09,,AW_A00009
2021-10-08,,AW_A00117
2021-10-07,,AW_A00117
2021-10-06,,AW_A00117
2021-10-05,,AW_A00117
2021-10-04,,AW_A00115
2021-10-04,,AW_A00116
2021-10-04,,AW_A00117
2021-10-04,,AW_A00152
2021-10-04,,AW_A00153
2021-10-04,,AW_A00198
2021-10-04,,AW_A00091
2021-10-04,,AW_A00092
2021-10-04,,AW_A00033
2021-10-04,,AW_A00034
2021-10-04,,AW_A00021
2021-10-04,,AW_A00022
2021-10-04,,AW_A00008
2021-10-04,,AW_A00009
2021-10-02,,AW_A00116
2021-10-02,,AW_A00117
2021-10-02,,AW_A00152
2021-10-02,,AW_A00153
2021-10-02,,AW_A00198
2021-10-02,,AW_A00091
2021-10-02,,AW_A00092
2021-10-02,,AW_A00033
2021-10-02,,AW_A00034
2021-10-02,,AW_A00021
2021-10-02,,AW_A00022
2021-10-02,,AW_A00008
2021-10-02,,AW_A00009
2021-10-01,,AW_A00115
2021-09-30,,AW_A00115
2021-09-29,,AW_A00115
2021-09-28,,AW_A00115
2021-09-25,,AW_A00115
2021-09-25,,AW_A00116
2021-09-25,,AW_A00117
2021-09-25,,AW_A00152
2021-09-25,,AW_A00153
2021-09-25,,AW_A00198
2021-09-25,,AW_A00091
2021-09-25,,AW_A00092
2021-09-25,,AW_A00033
2021-09-25,,AW_A00034
2021-09-25,,AW_A00021
2021-09-25,,AW_A00022
2021-09-25,,AW_A00008
2021-09-25,,AW_A00009
2021-09-24,,AW_A00200
2021-09-23,,AW_A00200
