배추
1포기(1.6kg)
1포기(2.0kg)
1개1670g
1개2400g
1개1760g
1포기 (반통 2.200원)
"1포기(3입 망 8,000원)"
1포기(521g)
2500g
한포기
1개2462g
1개1852g
1망(3개)7200g
1포기(3.35kg)
"1포기(3입 망 9,000원)"
"1포기 (반통 2,000원)"
1개(550g)
1개2622g
1봉(3개)8300g
1포기(811g)
1포기(1.9kg)
1포기(580g)
1개(1.5kg)
1포기 (2kg)
1포기(414g)
2.6kg
1개2459g
1개2372g
1망(3개)8300g
"1포기 (3입 망 9,000원)"
1개1200g
1개2540g
1개2794g
1포기(603g)
1포기(1730g)
1포기(2790g)
1포기3.1kg
1개1848g
1망(3개)8500g
1개2500g
"1포기 (3입 망 13,000)"
1포기(860g)
한포기(3.2kg)
1개2420g
1개3024g
1개2098g
1포기(2.25kg)
1박스(2700g)
1개2264g
1봉(3개)7800g
"1포기(3입 망 8,500원)"
1퐁기(3.5kg)
1포기(671g)
1포기9423g)
한포기(3kg)
1포기(3.55kg)
1포기820g
1포기(1890g)
1포기(335g)
한포기(2.1kg)
"1포기(3입 망 13,000원)"
"1망(1,5kg)"
1ㅍ기
1포기(1724g)
 1포기(335g)
한개
한포기(2.7kg)
한포기(2.5kg)
1개1908g
1개2734g
"1포기 (3입 망 13,000원)"
1포기1
1포기(646g)
"1포기(3입 망 12,000원)"
1개2480g
1개3344g
1포기(1.3kg)
1포기(433g)
1포기(1650g)
한포기(2.8kg)
1개 2.5kg
1개2074g
1개2140g
"1망(3입 망 8,500원)"
1개2062g
1개2260g
1망(3개)8200g
1개3604g
1포기(중간)
1포기(745g)
한포기(3.3kg)
한포기(2.6kg)
한포기(3.kg)
1포기(612g)
1개3144g
1개2662g
1망(3개)9000g
1(4kg)
0
1개(1846g)
"1포기 (1망 3입 12,000원)"
1포기(613g)
한포기(2.3kg)
한포기(2.4kg)
1개2906g
1포기(2.85kg)
1포기(1.85kg)
"1포기 (3입 망 12,000원)"
1망(2.15kg)
1개3470g
1망(3개4500)g
1포기(624g)
1포기(1527g)
1개2412g
1개2180g
1개2200g
1포기(3.65kg)
한포기(2kg)
한포기(2.9kg)
1포기(324g)
1망 3kg
1포기(2.9kg)
1한기(3.2kg)
1포기 2.1kg
1포기 2.4kg
1포기 2.6kg
1포기(647g)
1포기 2kg
1포기(1.65
한포기(3.4kg)
1포기(532g)
1개1774g
1개2284g
1개2276g
1포기(3.1kg)
1포기(642g)
1포기(850g)
1포기1540g
1포기(583g)
1개2152g
1개2460g
1개g
1포기(4.1kg)
1포기(2.18kg)
1포기(1924g)
1포기(832g)
한포기(2.kg)
1포기(1.35kg)
1포기(914g)
1개2712g
1개3000g
1망(3개)9500g
한포기(3.1kg)
한포기(1.8kg)
1포기1940g
1포기(563g)
1개(4.95kg)
1개1700g
1개2198g
1포기(925g)
1포기(906g)
1개2932g
1포기(2.5g)
1포기(557g)
3.1kg
1포기(500g)
1개2628g
3개9000g
"1포기(3입 망 7,000원)"
1개1484g
1망(3개)950g
"1포기(3,5kg)"
"1포기 (3입 망  8,000원)"
1포기 2.3kg
1포기(544g)
1개1778g
1개2772g
1개4000g
1포기(1915g)
1포기(589g)
1포기 2.2kg
1포기(790g)
1포기(843g)
"1포기 (1망 3포기 10,000원)"
1포기(1101g)
1포기(4kg)
1포가(3kg)
1포기(대)
1포기(1010g)
1개3236g
1개3872g
1개2735g
1개 (900g)
1포기(626g)
한포기(3.5kg)
1포기3kg
1포기(983g)
1개2528g
1개3744g
1포기(4.65kg)
1포기(2.3g)
1포기(4.5kg)
1포기(1.38kg)
1포기2.4kg)
1포기(1021g)
"1포기 (3입 망  6,000원)"
한포기(3.6kg)
1포기(682g)
1개2416g
1망(3개9500)g
1개3774g
3.2kg
1포기(394g)
1개2478g
1개2268g
"1포기 (3입 망 8,500원)"
1포기(1022g)
1포기2.4kg
1개2142g
1개2934g
1포기(2.65kg)
1개2594g
한포기(3.6lg)
한포기(2.2kg)
1포기(591g)
1개2316g
ㅣ포기
"1포기 (2,080g)"
"1포기 (3입 망 11,000원)"
1포기3.2kg
1포기1.9kg
1포기(764g)
1개1544g
1개3294g
3개7500g
1포기(1299g)
2kg
3.3kg
1포기(2.4kg
1포기(683g)
1개3382g
1개4206g
"1포기 (1망 3포기 5,450원)"
1개2112g
1개3230g
"1포기 (1망 3포기 10,500원)"
1포기(812g)
"1포기(2,174g)"
"1포기 (1망 3포기 10,000원"
"1포기(3입 망 10,000원)"
1포기(1766g)
1포기(656g)
3포기(6.2kg)
1포기(3.6kg)
1망(6kg)
1포기2.2kg)
1포기(610g)
1개3478g
1개1640g
1개2380g
"1포기 (2,187g)"
1포기(689g)
1포기(중)
1개1860g
"1포기 (3입 1망 11,000원)"
1포기(687g)
2.4kg
1포기(512g)
1개1800g
1개2870g
1망 3포기
1포기(602g)
"1포기 (3입 망 5,450원)"
1개2672g
1개2076g
1포기(822g)
1통(500g)
한포기(1.5kg)
1포기(960g)
1개1998g
1개510g
"1포기(3입 망 25,000원)"
1포기(698g)
1망 1.5kg
1포기(2850g)
"1포기(3입 망 14,000원)"
1포기 (약1.5kg내외))
"1포기(1,5kg)"
"1포기(1,93"
1포기(870g)
1개518g
"1포기(1,680g)"
1포기(806g)
1개3300g
1개630g
1포기(210g)
"1포기(1,720kg)"
1개(2.3kg)
1포기(817g)
1개1940g
1포기((500g)
1망(2.4kg)
1개540g
1개1650g
1포기-580g
"1포기-666g (100g-1,500원)"
1포기(564g)
1포기(1747g)
"1포기-670g(100g-1,200원)"
1포기(480g)
1포기(541g)
1포기 (2.6kg)
"1포기 (1망 3입 2.5kg내외 10,000원)"
1개426g
1 포기(2.6kg)
"1포기(1,93kg)"
한포가(2.3kg)
1포기(2.45kg)
1포기(586g)
1개530g
1개(754g)
1개1660g
1포기623g)
1포기(1809g)
1포기(605g)
1포기(769g)
"1포기 (1망(8~12kg) 3포기 9,000원)"
1포기 (518g)
1포기 (830g)
"1포기 (1,650g)"
1포기-600g
1포기(400g)
1포기 (526g)
1.9kg
1포기 (2.3kg)
1포기 (팩) 650g
반포기(1.2kg)
1포기 2.7kg
620g
1포기(1.08kg)
1개(1.3kg)
1포기(620g)
"1포기(2,082g)"
1망(2385g)
없슴
1포기 (650g)
1포기(680g)
1통 3kg
1통 2.5kg
1포기(334g)
"1개 2,100g"
1개 1778g
1포기(540g)
"1개 1,400g"
"1개 2,000g"
1망(2.1kg)
1082g
1023g
2.3kg
1 개
1통(2.5kg)
1통(2.7kg)
1통(2.9kg)
1통(2.8k)
1통(3kg)
1통(1.5kg)
1롱
1통(3k)
1통(2.8kg)
1통(2.9k)
1통(2.6k)
2.5g
1포기 중간
중간
1통(2.7k)
1통(2.6kg)
2..5kg
2.1kg
2.2kg
1통(2.1kg)
힌포기
1퍼기
1폭기
2.3g
22.5kg
2.6g
1포기 600g 
1통(2.4kg)
1통((2.9kg)
1통(3kg이상)
1통(1.6kg)
1.92kg
",1포기"
1망 
1통(300g)
1통(3.3kg)
1마리 
1통(3.4kg)
2.5
1망(2.9kg)
1망(2.8kg)
1표기
1 포기
.2.5kg
1게
1포기 1.6kg
640g
1포기 1.8kg
1포기 1.9kg
1포기 1.4kg
 1포기
800g
658g
"2,6kg"
990g
1포기 2.8kg
710g
1포기 2.8kg 
1포기 2.9kg
1
1포기 (2.9kg)
1포기(1876kg)
1포기3500
1폭
1포기(3.0kg)
1포기(2.312kg)
1포기 (2.7kg)
