,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1
158,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-10,"123,000"
159,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-10,"360,000"
160,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-10,"266,000"
161,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-10,"736,000"
162,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-10,"216,000"
163,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-10,"4,500"
164,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-10,"32,000"
165,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-10,"26,000"
166,감자,152,수미(20kg),01,상품,04,20kg,2022-06-10,"41,300"
167,감자,152,수미(20kg),01,중품,05,20kg,2022-06-10,"37,300"
168,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-09,"44,200"
169,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-09,"41,200"
170,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-09,"97,800"
171,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-09,"240,000"
172,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-09,"123,000"
173,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-09,"360,000"
174,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-09,"266,000"
175,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-09,"736,000"
176,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-09,"216,000"
177,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-09,"4,500"
178,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-09,"32,000"
179,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-09,"26,000"
180,감자,152,수미(20kg),01,상품,04,20kg,2022-06-09,"42,000"
181,감자,152,수미(20kg),01,중품,05,20kg,2022-06-09,"38,000"
182,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-08,"44,200"
183,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-08,"42,000"
184,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-08,"97,800"
185,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-08,"240,000"
186,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-08,"123,000"
187,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-08,"360,000"
188,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-08,"266,000"
189,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-08,"736,000"
190,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-08,"216,000"
191,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-08,"4,500"
192,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-08,"32,000"
193,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-08,"26,000"
194,감자,152,수미(20kg),01,상품,04,20kg,2022-06-08,"42,000"
195,감자,152,수미(20kg),01,중품,05,20kg,2022-06-08,"38,000"
196,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-07,"44,200"
197,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-07,"42,000"
198,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-07,"97,800"
199,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-07,"240,000"
200,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-07,"123,000"
201,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-07,"360,000"
202,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-07,"266,000"
203,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-07,"736,000"
204,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-07,"216,000"
205,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-07,"4,500"
206,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-07,"32,000"
207,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-07,"26,000"
208,감자,152,수미(20kg),01,상품,04,20kg,2022-06-07,"42,000"
209,감자,152,수미(20kg),01,중품,05,20kg,2022-06-07,"38,000"
210,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-06,-
211,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-06,-
212,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-06,-
213,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-06,-
214,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-06,-
215,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-06,-
216,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-06,-
217,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-06,-
218,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-06,-
219,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-06,-
220,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-06,-
221,감자,152,수미(20kg),01,상품,04,20kg,2022-06-06,-
222,감자,152,수미(20kg),01,중품,05,20kg,2022-06-06,-
223,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-04,-
